name,org_name,description,address,city,state,zipcode,latitude,longitude,min_age,max_age,category_id,category name,category description,,,,,,,,,,,,,,,,,
"Arts, Technology and Social Justice",After School Matters,"Youth will learn various art forms of their choosing based on their talents or previous experience. They will then explore their role and responsibility as artist for community and social change. Youth will be trained as Artist: *Youth will be mentored and taught specific art techniques, mechanics and philosophies according to their individual interest and strengths. *Youth will participate in the creative process of making art as an individual, team and community member. *Youth will be taught project development in regards to their chosen art form. They will employ a number of best practices to take art skills from idea to completed art piece while meeting outside requirements. Youth will be trained as positive Change Agents: *Youth will be engaged in the process of reflection in regards to the society communities and systems in which they live. *Youth will be empowered to use their voice and artistic skills to address specific social or community issues they feel passionate about. * Youth will meet past and current Artists that have used their art to further positive social change and civic engagement.
",1527 W MORSE AVENUE,Chicago,IL,60626,42.0078,-87.6684,14,22,2,Designing + Making,"Creating visual graphics and physical structures; Building things with electronics, craft materials; Creating fashion",,,,,,,,,,,,,,,,,
"Arts, Technology and Social Justice",After School Matters,"Youth will learn various art forms of their choosing based on their talents or previous experience. They will then explore their role and responsibility as artist for community and social change. Youth will be trained as Artist: *Youth will be mentored and taught specific art techniques, mechanics and philosophies according to their individual interest and strengths. *Youth will participate in the creative process of making art as an individual, team and community member. *Youth will be taught project development in regards to their chosen art form. They will employ a number of best practices to take art skills from idea to completed art piece while meeting outside requirements. Youth will be trained as positive Change Agents: *Youth will be engaged in the process of reflection in regards to the society communities and systems in which they live. *Youth will be empowered to use their voice and artistic skills to address specific social or community issues they feel passionate about. * Youth will meet past and current Artists that have used their art to further positive social change and civic engagement.
",1527 W MORSE AVENUE,Chicago,IL,60626,42.0078,-87.6684,14,22,7,Media,"Creating animations, movies, music, podcasts,  and two- and three-dimensional artworks",,,,,,,,,,,,,,,,,
Asian Culture Workshop,After School Matters,"Teens learn Korean traditional percussion with four different instruments and perform in ethnic and community festivals such as annual Korean Street Festival. Through peer-led workshops, teens learn public speaking and research skills on various current issues affect youth.
",6146 N LINCOLN AVENUE,Chicago,IL,60659,41.9937,-87.7128,14,22,4,Community Action,Addressing personal and community issues,,,,,,,,,,,,,,,,,
Asian Culture Workshop,After School Matters,"Teens learn Korean traditional percussion with four different instruments and perform in ethnic and community festivals such as annual Korean Street Festival. Through peer-led workshops, teens learn public speaking and research skills on various current issues affect youth.
",6146 N LINCOLN AVENUE,Chicago,IL,60659,41.9937,-87.7128,14,22,8,Performance,"Participating in live music, theatre, and dance performances",,,,,,,,,,,,,,,,,
Audio Electronics,After School Matters,"The Audio Electronic program introduces teens to electrical theory and practice. The program focuses on construction, repair, and maintenance of existing Sound Alternative equipment, conception and construction of new equipment, as well as instruction in the field of general electronics. Apprentices learn basic electronics, basic soldering, metering skills, theory and practice of electrical audio concepts, and real-world repair. The curriculum teaches logic and practical workplace skills, and focuses on the successful completion of different class projects.
",3052 S GRATTEN AVENUE,Chicago,IL,60608,41.8395,-87.6544,14,22,2,Designing + Making,"Creating visual graphics and physical structures; Building things with electronics, craft materials; Creating fashion",,,,,,,,,,,,,,,,,
Austin Resource Center - Internship,After School Matters,"Interns will provide leadership and support to Austin Resource Center summer programming. Planning, organization and leadership to children, teens and other ASM programming on-site.
",501 N CENTRAL AVENUE,Chicago,IL,60644,41.8899,-87.7652,16,22,4,Community Action,Addressing personal and community issues,,,,,,,,,,,,,,,,,
Austin Resource Center - Internship,After School Matters,"Interns will provide leadership and support to Austin Resource Center summer programming. Planning, organization and leadership to children, teens and other ASM programming on-site.
",501 N CENTRAL AVENUE,Chicago,IL,60644,41.8899,-87.7652,16,22,3,Work + Career,"Learning about careers, business, and financial planning",,,,,,,,,,,,,,,,,
Aztec Dance Chicago,After School Matters,"Apprentices learn Aztec-Nahua dances, native songs, pre-Hispanic musical rhythms, cultural concepts and symbols. Field trips and participation with local dance groups and guests highlight contemporary expressions of Native cultures and Aztec dance. Teens put together workshops and presentations shared with the community throughout the year. A final showcase production incorporates skills and concepts learned. Teens share equal responsibility in the realization of the production, carrying out the many roles, projects and activities needed to achieve a successful production.
",2520 S WESTERN AVENUE,Chicago,IL,60608,41.8459,-87.6856,14,22,4,Community Action,Addressing personal and community issues,,,,,,,,,,,,,,,,,
Aztec Dance Chicago,After School Matters,"Apprentices learn Aztec-Nahua dances, native songs, pre-Hispanic musical rhythms, cultural concepts and symbols. Field trips and participation with local dance groups and guests highlight contemporary expressions of Native cultures and Aztec dance. Teens put together workshops and presentations shared with the community throughout the year. A final showcase production incorporates skills and concepts learned. Teens share equal responsibility in the realization of the production, carrying out the many roles, projects and activities needed to achieve a successful production.
",2520 S WESTERN AVENUE,Chicago,IL,60608,41.8459,-87.6856,14,22,8,Performance,"Participating in live music, theatre, and dance performances",,,,,,,,,,,,,,,,,
Aztec Dance Chicago,After School Matters,"Apprentices learn Aztec-Nahua dances, native songs, pre-Hispanic musical rhythms, cultural concepts and symbols. Field trips and participation with local dance groups and guests highlight contemporary expressions of Native cultures and Aztec dance. Teens put together workshops and presentations shared with the community throughout the year. A final showcase production incorporates skills and concepts learned. Teens share equal responsibility in the realization of the production, carrying out the many roles, projects and activities needed to achieve a successful production.
",2520 S WESTERN AVENUE,Chicago,IL,60608,41.8459,-87.6856,14,22,4,Community Action,Addressing personal and community issues,,,,,,,,,,,,,,,,,
Aztec Dance Chicago,After School Matters,"Apprentices learn Aztec-Nahua dances, native songs, pre-Hispanic musical rhythms, cultural concepts and symbols. Field trips and participation with local dance groups and guests highlight contemporary expressions of Native cultures and Aztec dance. Teens put together workshops and presentations shared with the community throughout the year. A final showcase production incorporates skills and concepts learned. Teens share equal responsibility in the realization of the production, carrying out the many roles, projects and activities needed to achieve a successful production.
",2520 S WESTERN AVENUE,Chicago,IL,60608,41.8459,-87.6856,14,22,8,Performance,"Participating in live music, theatre, and dance performances",,,,,,,,,,,,,,,,,
BBY Officiating Clinic @ Grand Crossing Park,After School Matters,"BBY Officiating Clinic provides training for teens and young adults to become confident and proficient Illinois High School Association registered baseketball officials. Participants will experience hands on education, training and skills development necessary to control a game of basketball, thereby providing players the best possible experience playing the game within the guidelines of National Federation of High Schools (NFHS) rules.
",7655 S INGLESIDE AVENUE,Chicago,IL,60619,41.7558,-87.6016,16,22,5,Sports + Wellness,"Playing sports, helping the environment, and other healthy activities",,,,,,,,,,,,,,,,,
BBY Officiating Clinic @ Grand Crossing Park,After School Matters,"BBY Officiating Clinic provides training for teens and young adults to become confident and proficient Illinois High School Association registered baseketball officials. Participants will experience hands on education, training and skills development necessary to control a game of basketball, thereby providing players the best possible experience playing the game within the guidelines of National Federation of High Schools (NFHS) rules.
",7655 S INGLESIDE AVENUE,Chicago,IL,60619,41.7558,-87.6016,16,22,3,Work + Career,"Learning about careers, business, and financial planning",,,,,,,,,,,,,,,,,
BBY Officiating Clinic @ Homan Square,After School Matters,"BBY Officiating Clinic provides training for teens and young adults to become confident and proficient Illinois High School Association registered baseketball officials. Participants will experience hands on education, training and skills development necessary to control a game of basketball, thereby providing players the best possible experience playing the game within the guidelines of National Federation of High Schools (NFHS) rules.
",3559 W ARTHINGTON STREET,Chicago,IL,60624,41.8699,-87.7143,14,22,5,Sports + Wellness,"Playing sports, helping the environment, and other healthy activities",,,,,,,,,,,,,,,,,
BBY Officiating Clinic @ Homan Square,After School Matters,"BBY Officiating Clinic provides training for teens and young adults to become confident and proficient Illinois High School Association registered baseketball officials. Participants will experience hands on education, training and skills development necessary to control a game of basketball, thereby providing players the best possible experience playing the game within the guidelines of National Federation of High Schools (NFHS) rules.
",3559 W ARTHINGTON STREET,Chicago,IL,60624,41.8699,-87.7143,14,22,3,Work + Career,"Learning about careers, business, and financial planning",,,,,,,,,,,,,,,,,
BeatLAB,After School Matters,"BeatLAB is a digital music apprenticeship that schools beginning musicians in the basics of music theory and note reading, and then quickly progresses into recording, improvising, and composition instruction. Apprentices work in BBFs music technology studio, which houses 12 individual workstations each outfitted with an Apple MacBook computer and MIDI keyboard.
",1512 S PULASKI ROAD,Chicago,IL,60623,41.8604,-87.7251,14,22,7,Media,"Creating animations, movies, music, podcasts,  and two- and three-dimensional artworks",,,,,,,,,,,,,,,,,
BeatLAB,After School Matters,"BeatLAB is a digital music apprenticeship that schools beginning musicians in the basics of music theory and note reading, and then quickly progresses into recording, improvising, and composition instruction. Apprentices work in BBFs music technology studio, which houses 12 individual workstations each outfitted with an Apple MacBook computer and MIDI keyboard.
",1512 S PULASKI ROAD,Chicago,IL,60623,41.8604,-87.7251,14,22,8,Performance,"Participating in live music, theatre, and dance performances",,,,,,,,,,,,,,,,,
Beloved Community Hope and Healing Internship,After School Matters,"The Hope and Healing program will prepare 10 youth for employment. The program provides youth with the opportunity to acquire meaningful work experience, as well as explore various career options through internships with local businesses, government agencies, public officials, and not-for-profit organizations. The program goals are to increase knowledge of career options and increase work readiness skills and future employability among youth.
",6430 S HARVARD AVENUE,Chicago,IL,60621,41.7776,-87.6334,14,22,4,Community Action,Addressing personal and community issues,,,,,,,,,,,,,,,,,
Beloved Community Hope and Healing Internship,After School Matters,"The Hope and Healing program will prepare 10 youth for employment. The program provides youth with the opportunity to acquire meaningful work experience, as well as explore various career options through internships with local businesses, government agencies, public officials, and not-for-profit organizations. The program goals are to increase knowledge of career options and increase work readiness skills and future employability among youth.
",6430 S HARVARD AVENUE,Chicago,IL,60621,41.7776,-87.6334,14,22,3,Work + Career,"Learning about careers, business, and financial planning",,,,,,,,,,,,,,,,,
Bessie Coleman Library Art Avengers,After School Matters,"Teen apprentices in the Art Avengers program learn to how comic books are created, from the idea stage through the publishing process. Teens develop their drawing skills and learn how to create visual narratives to support compelling stories to create comic books. Teens will learn the basics of sketching, drawing, storyboarding, editing and publishing. For a final project teens will create original group and individual comic books.
",731 E 63RD STREET,Chicago,IL,60637,41.7804,-87.6072,14,22,2,Designing + Making,"Creating visual graphics and physical structures; Building things with electronics, craft materials; Creating fashion",,,,,,,,,,,,,,,,,
Bessie Coleman Library Art Avengers,After School Matters,"Teen apprentices in the Art Avengers program learn to how comic books are created, from the idea stage through the publishing process. Teens develop their drawing skills and learn how to create visual narratives to support compelling stories to create comic books. Teens will learn the basics of sketching, drawing, storyboarding, editing and publishing. For a final project teens will create original group and individual comic books.
",731 E 63RD STREET,Chicago,IL,60637,41.7804,-87.6072,14,22,7,Media,"Creating animations, movies, music, podcasts,  and two- and three-dimensional artworks",,,,,,,,,,,,,,,,,
Beverly Arts Center Internship,After School Matters,"The summer internship program at Beverly Arts Center creates opportunities for teens and young adults to learn professional job skills in a supportive, collaborative, and educational environment while contributing to the productivity and artistic success of summer arts camps, classes, and shows.
",2407 W 111TH STREET,Chicago,IL,60655,41.6917,-87.6814,16,22,2,Designing + Making,"Creating visual graphics and physical structures; Building things with electronics, craft materials; Creating fashion",,,,,,,,,,,,,,,,,
Beverly Arts Center Internship,After School Matters,"The summer internship program at Beverly Arts Center creates opportunities for teens and young adults to learn professional job skills in a supportive, collaborative, and educational environment while contributing to the productivity and artistic success of summer arts camps, classes, and shows.
",2407 W 111TH STREET,Chicago,IL,60655,41.6917,-87.6814,16,22,7,Media,"Creating animations, movies, music, podcasts,  and two- and three-dimensional artworks",,,,,,,,,,,,,,,,,
Beverly Arts Center Internship,After School Matters,"The summer internship program at Beverly Arts Center creates opportunities for teens and young adults to learn professional job skills in a supportive, collaborative, and educational environment while contributing to the productivity and artistic success of summer arts camps, classes, and shows.
",2407 W 111TH STREET,Chicago,IL,60655,41.6917,-87.6814,16,22,8,Performance,"Participating in live music, theatre, and dance performances",,,,,,,,,,,,,,,,,
Big Biz,After School Matters,"Teens work in small groups and various classes at our in-house, student-created and led business incubator, Big Biz. This incubator teaches a broad skill set that, combined with basic business principles, will form the foundation of helping students become successful entrepreneurs and create and implement their own business concepts. Big Biz engages students through building a working knowledge of marketing, budgeting, sales, record keeping, projecting, client engagement, and some legal understanding. Our young entrepreneurs create resumes and email accounts. They also learn to create reports and spreadsheets for a business, such as cost analysis, a marketing plan, and financial records using current technology including Google Apps and MS Office for their work experience. By engaging in workshops on these subjects, followed by hands-on work at YMEN and exposure to job sites in our network, they learn to understand how the business world works, and how they may fit into that world. Finally, students in Big Biz work on the local level to understand the problems facing businesses in low-income areas and how market-driven solutions can be created through business ownership strategies.
",1241 S PULASKI ROAD,Chicago,IL,60623,41.8654,-87.7251,14,22,4,Community Action,Addressing personal and community issues,,,,,,,,,,,,,,,,,
Big Biz,After School Matters,"Teens work in small groups and various classes at our in-house, student-created and led business incubator, Big Biz. This incubator teaches a broad skill set that, combined with basic business principles, will form the foundation of helping students become successful entrepreneurs and create and implement their own business concepts. Big Biz engages students through building a working knowledge of marketing, budgeting, sales, record keeping, projecting, client engagement, and some legal understanding. Our young entrepreneurs create resumes and email accounts. They also learn to create reports and spreadsheets for a business, such as cost analysis, a marketing plan, and financial records using current technology including Google Apps and MS Office for their work experience. By engaging in workshops on these subjects, followed by hands-on work at YMEN and exposure to job sites in our network, they learn to understand how the business world works, and how they may fit into that world. Finally, students in Big Biz work on the local level to understand the problems facing businesses in low-income areas and how market-driven solutions can be created through business ownership strategies.
",1241 S PULASKI ROAD,Chicago,IL,60623,41.8654,-87.7251,14,22,3,Work + Career,"Learning about careers, business, and financial planning",,,,,,,,,,,,,,,,,
Bike Repair and Safety,After School Matters,"Teens develop hands-on mechanic skills as they build their own bicycles, organize their own community events, and enjoy weekly field trips exploring Chicago by bike! Teens that successfully complete the program are then eligible for Summer employment with the Chicago Park District or as mechanics at bike shops. Returning Apprentices are given additional opportunities to develop skills in program operations and instruction, material reuse and recycling, cargo bikes and trailers, and welding and fabrication.
",2459 W DIVISION STREET,Chicago,IL,60622,41.9029,-87.6884,14,22,2,Designing + Making,"Creating visual graphics and physical structures; Building things with electronics, craft materials; Creating fashion",,,,,,,,,,,,,,,,,
Black on Black Love Internship,After School Matters,"Interns will act as administrative support, responsible for assisting the office manager and staff with day to day operations and special events of Black on Black Love Organization. Intern duties will include typing, filing, research, appointment scheduling, customer service, database development and event planning.
",1000 E 87TH STREET,Chicago,IL,60619,41.7368,-87.6005,14,22,4,Community Action,Addressing personal and community issues,,,,,,,,,,,,,,,,,
Black on Black Love Internship,After School Matters,"Interns will act as administrative support, responsible for assisting the office manager and staff with day to day operations and special events of Black on Black Love Organization. Intern duties will include typing, filing, research, appointment scheduling, customer service, database development and event planning.
",1000 E 87TH STREET,Chicago,IL,60619,41.7368,-87.6005,14,22,3,Work + Career,"Learning about careers, business, and financial planning",,,,,,,,,,,,,,,,,
Blocks Together Peace Ambassadors,After School Matters,"The Blocks Together Peace Ambassador program teaches students community organizing and advocacy to work to address school violence. Our program is an opportunity for students to be a part of solving issues they confront and fighting back against problems like violence, bullying, and negativity in school. Students are a part of community outreach, organizing community meetings, and learning how to create programs at their schools. Students learn about community organizing and development, counseling or psychology, and law.
",534 N SACRAMENTO BOULEVARD,Chicago,IL,60612,41.8914,-87.7021,14,22,4,Community Action,Addressing personal and community issues,,,,,,,,,,,,,,,,,
Blocks Together Peace Ambassadors,After School Matters,"The Blocks Together Peace Ambassador program teaches students community organizing and advocacy to work to address school violence. Our program is an opportunity for students to be a part of solving issues they confront and fighting back against problems like violence, bullying, and negativity in school. Students are a part of community outreach, organizing community meetings, and learning how to create programs at their schools. Students learn about community organizing and development, counseling or psychology, and law.
",534 N SACRAMENTO BOULEVARD,Chicago,IL,60612,41.8914,-87.7021,14,22,3,Work + Career,"Learning about careers, business, and financial planning",,,,,,,,,,,,,,,,,
Brand BUILD,After School Matters,"Brand BUILD is an entrepreneurial beading program that teaches jewelry making and business skills in a group setting that allows for personal and professional growth.
",5100 W HARRISON AVENUE,Chicago,IL,60644,41.873,-87.7533,14,22,2,Designing + Making,"Creating visual graphics and physical structures; Building things with electronics, craft materials; Creating fashion",,,,,,,,,,,,,,,,,
Bridge Robotics,After School Matters,"The Bridge Robotics team works to develop students competencies in math, science, technology, and engineering by learning to build, and code a competitive robot. The team also brings together students and professional engineers of all backgrounds that allow the students to get excited about engineering and working on other business tasks, such as marketing, and strategic planning.
",6430 S HARVARD AVENUE,Chicago,IL,60621,41.7776,-87.6334,14,22,6,Coding + Games,"Digital and web literacy; Creating websites, apps, video games, interactive stories, etc",,,,,,,,,,,,,,,,,
Bridge Robotics,After School Matters,"The Bridge Robotics team works to develop students competencies in math, science, technology, and engineering by learning to build, and code a competitive robot. The team also brings together students and professional engineers of all backgrounds that allow the students to get excited about engineering and working on other business tasks, such as marketing, and strategic planning.
",6430 S HARVARD AVENUE,Chicago,IL,60621,41.7776,-87.6334,14,22,2,Designing + Making,"Creating visual graphics and physical structures; Building things with electronics, craft materials; Creating fashion",,,,,,,,,,,,,,,,,
BUILD Youth Council,After School Matters,"INDAGLO (The Light Within the Darkness), BUILDs youth-led, staff facilitated Youth Council, represents a cross section of our programs and communities. Members serve as a leadership group for obtaining input regarding issues that concern youth, establishing a baseline of knowledge and creating opportunities for information sharing and training that address issues of concern. Indaglo also secures youth input on evaluation, design and development of BUILD programs. A sample of Indaglos leadership development activities includes: life skills workshops; peace/anti-gang violence rallies; community cleanups; and peer-facilitated workshops on topics such as encouraging diversity and avoiding dating violence, drugs and gangs. Indaglo is responsible for putting together the annual youth-lead conference focusing on gang/street violence. The youth council and staff of BUILD will approach this challenge of youth violence through prevention, intervention, rehabilitation, and community outreach strategies. Indaglo believes that through a positive peaceful space and a youth development approach youth can become positive ambassadors in their community. Indaglos mission is: To educate, mentor, and empower youth by finding new and interesting ways to keep ourselves informed of the ills that affect our communities. We promote social awareness and utilize our culture to heal and create a voice for the youth to follow and become leaders as well as inspire social change.
",2914 W NORTH AVENUE,Chicago,IL,60647,41.9103,-87.6996,14,22,4,Community Action,Addressing personal and community issues,,,,,,,,,,,,,,,,,
BUILD Youth Council,After School Matters,"INDAGLO (The Light Within the Darkness), BUILDs youth-led, staff facilitated Youth Council, represents a cross section of our programs and communities. Members serve as a leadership group for obtaining input regarding issues that concern youth, establishing a baseline of knowledge and creating opportunities for information sharing and training that address issues of concern. Indaglo also secures youth input on evaluation, design and development of BUILD programs. A sample of Indaglos leadership development activities includes: life skills workshops; peace/anti-gang violence rallies; community cleanups; and peer-facilitated workshops on topics such as encouraging diversity and avoiding dating violence, drugs and gangs. Indaglo is responsible for putting together the annual youth-lead conference focusing on gang/street violence. The youth council and staff of BUILD will approach this challenge of youth violence through prevention, intervention, rehabilitation, and community outreach strategies. Indaglo believes that through a positive peaceful space and a youth development approach youth can become positive ambassadors in their community. Indaglos mission is: To educate, mentor, and empower youth by finding new and interesting ways to keep ourselves informed of the ills that affect our communities. We promote social awareness and utilize our culture to heal and create a voice for the youth to follow and become leaders as well as inspire social change.
",2914 W NORTH AVENUE,Chicago,IL,60647,41.9103,-87.6996,14,22,3,Work + Career,"Learning about careers, business, and financial planning",,,,,,,,,,,,,,,,,
Business Engineering for Future Leaders,After School Matters,"Educating the teens on business planning, technology, problem solving, critical thinking, financial planning, relationship building, and more using a hands on approach and project based learning. This will help prepare the students to be more competitive in this new economy, where technology skills and being business savvy can help anyone launch a successful global business. The students will learn presentation skills, unconventional thinking, and how to build a business from the ground up.
",6835 S NORMAL BOULEVARD,Chicago,IL,60621,41.7699,-87.6372,14,22,4,Community Action,Addressing personal and community issues,,,,,,,,,,,,,,,,,
Business Engineering for Future Leaders,After School Matters,"Educating the teens on business planning, technology, problem solving, critical thinking, financial planning, relationship building, and more using a hands on approach and project based learning. This will help prepare the students to be more competitive in this new economy, where technology skills and being business savvy can help anyone launch a successful global business. The students will learn presentation skills, unconventional thinking, and how to build a business from the ground up.
",6835 S NORMAL BOULEVARD,Chicago,IL,60621,41.7699,-87.6372,14,22,3,Work + Career,"Learning about careers, business, and financial planning",,,,,,,,,,,,,,,,,
CAMERA FLUX- FRAMING THE CITY WITH PHOTO & VIDEO,After School Matters,"Camera Flux provides teens with an opportunity to re-envision their homes, communities and city by recounting their personal stories through photography and video. Participants learn different styles of storytelling, innovative and accessible photo and video techniques, as well as sharpen their aesthetic eye. Teens work alongside an interdisciplinary artist whose photographic and video work has been featured in prominent media such as, Vice Magazine and MTV.
",2801 S RIDGEWAY AVENUE,Chicago,IL,60623,41.8407,-87.7184,14,22,4,Community Action,Addressing personal and community issues,,,,,,,,,,,,,,,,,
CAMERA FLUX- FRAMING THE CITY WITH PHOTO & VIDEO,After School Matters,"Camera Flux provides teens with an opportunity to re-envision their homes, communities and city by recounting their personal stories through photography and video. Participants learn different styles of storytelling, innovative and accessible photo and video techniques, as well as sharpen their aesthetic eye. Teens work alongside an interdisciplinary artist whose photographic and video work has been featured in prominent media such as, Vice Magazine and MTV.
",2801 S RIDGEWAY AVENUE,Chicago,IL,60623,41.8407,-87.7184,14,22,7,Media,"Creating animations, movies, music, podcasts,  and two- and three-dimensional artworks",,,,,,,,,,,,,,,,,
CASL Summer Youth Internship Program,After School Matters,"Teens will work in the Armour Square neighborhood assisting residents with access to public services.
",2141 S TAN COURT,Chicago,IL,60616,41.8547,-87.6357,16,22,4,Community Action,Addressing personal and community issues,,,,,,,,,,,,,,,,,
CASL Summer Youth Internship Program,After School Matters,"Teens will work in the Armour Square neighborhood assisting residents with access to public services.
",2141 S TAN COURT,Chicago,IL,60616,41.8547,-87.6357,16,22,3,Work + Career,"Learning about careers, business, and financial planning",,,,,,,,,,,,,,,,,
Chicago Allies,After School Matters,"IMSA Chicago ALLIES is a youth development Service Learning program that prepares high school students to deliver inquiry-based, hands-on science, technology, engineering and mathematics activities (STEM) to their communities. Students learn best practice teaching pedagogy, presentation and classroom skills, STEM content, educational psychology, and self-reflection. Successful participants in this program will have the opportunity to apply for camp counselor positions during IMSA summer camps held in Chicago. The ALLIES program has two goals. 1. To provide experiences and create conditions by which students can explore STEM concepts and learn about STEM education through serving others. 2. To engage students in reflective practice in order to help them see their potential as leaders in STEM education.
",5255 S STATE STREET,Chicago,IL,60609,41.7985,-87.6257,14,22,4,Community Action,Addressing personal and community issues,,,,,,,,,,,,,,,,,
Chicago Allies,After School Matters,"IMSA Chicago ALLIES is a youth development Service Learning program that prepares high school students to deliver inquiry-based, hands-on science, technology, engineering and mathematics activities (STEM) to their communities. Students learn best practice teaching pedagogy, presentation and classroom skills, STEM content, educational psychology, and self-reflection. Successful participants in this program will have the opportunity to apply for camp counselor positions during IMSA summer camps held in Chicago. The ALLIES program has two goals. 1. To provide experiences and create conditions by which students can explore STEM concepts and learn about STEM education through serving others. 2. To engage students in reflective practice in order to help them see their potential as leaders in STEM education.
",5255 S STATE STREET,Chicago,IL,60609,41.7985,-87.6257,14,22,3,Work + Career,"Learning about careers, business, and financial planning",,,,,,,,,,,,,,,,,
Chicago Area Project Internship,After School Matters,"CAP empowers a broad base of community stakeholders to work together to improve neighborhood conditions, hold institutions accountable, reduce anti-social behavior by young people, protect children from inappropriate institutionalization, and provide youth with positive models for personal development.",2100 E 87TH STREET,Chicago,IL,60617,41.7372,-87.5727,16,22,4,Community Action,Addressing personal and community issues,,,,,,,,,,,,,,,,,
Chicago Area Project Internship,After School Matters,"CAP empowers a broad base of community stakeholders to work together to improve neighborhood conditions, hold institutions accountable, reduce anti-social behavior by young people, protect children from inappropriate institutionalization, and provide youth with positive models for personal development.",2100 E 87TH STREET,Chicago,IL,60617,41.7372,-87.5727,16,22,3,Work + Career,"Learning about careers, business, and financial planning",,,,,,,,,,,,,,,,,
"Chicago Lights Urban Farm - Growing Food, Harvesting Opportunity",After School Matters,"Youth acquire career, college, and life skills by learning agricultural tools for urban and rural settings. As they grow, harvest, and sell fresh produce on an urban farm, they also serve the neighborhood by preparing delicious meals with nutritious food and sharing healthy eating habits.
",444 W CHICAGO AVENUE,Chicago,IL,60610,41.8965,-87.6409,14,22,4,Community Action,Addressing personal and community issues,,,,,,,,,,,,,,,,,
"Chicago Lights Urban Farm - Growing Food, Harvesting Opportunity",After School Matters,"Youth acquire career, college, and life skills by learning agricultural tools for urban and rural settings. As they grow, harvest, and sell fresh produce on an urban farm, they also serve the neighborhood by preparing delicious meals with nutritious food and sharing healthy eating habits.
",444 W CHICAGO AVENUE,Chicago,IL,60610,41.8965,-87.6409,14,22,1,Exploring Earth & Science,Investigating the world around us,,,,,,,,,,,,,,,,,
Chicago Long Form Improv - Sullivan,After School Matters,"During the course of the program students are taught a series of warm-up and skill building exercises, short form performance games, fundamental performance skills, and techniques needed to perform long form improv. The goals of the program include creating effective and intentional communicators and performers; building unselfish, team-minded ensembles; and developing confident, unimpeded performers. Each week our objectives build on one another. Our first hour is spent on checking in, sharing thoughts, stretching and warm-ups. Our second hour is spent learning a new weekly short form performance game. This game teaches or reinforces a skill that we spend our third hour applying to long form. At the end of the program the teens have a large body of short form games and general improv skills and techniques that they can use in performance. Throughout the term we hold performances of varying scales. These include performances for the other ASM programs, for the rest of the school, and, by the end of the term, a public performance at a professional theater.
",6631 N BOSWORTH AVENUE,Chicago,IL,60626,42.0023,-87.6692,14,22,8,Performance,"Participating in live music, theatre, and dance performances",,,,,,,,,,,,,,,,,
Chicago Opera Theater For Teens at Solorio,After School Matters,"Chicago Opera Theater for Teens is a professional development program for teens that provides students with a glimpse into professions in the opera field, while also introducing them to other possible careers in the field, such as artistic coordinator, production, artistic management, and education. Two Chicago Opera Theater Teaching Artists lead the students in creating performances from musical theater shows, operas, and operettas that are relevant to their lives, which also match up to professional contemporary opera standards. Students work in large and small groups on choreography, sets and costumes, and staging, while getting an in-depth classical vocal training. They also interact regularly with Chicago Opera Theaters Young Artists, board members, and staff.
",5400 S ST LOUIS AVENUE,Chicago,IL,60632,41.7952,-87.711,14,22,8,Performance,"Participating in live music, theatre, and dance performances",,,,,,,,,,,,,,,,,
Chinatown Youth Choir,After School Matters,"In this exciting program, teens will have the opportunity to learn what it takes to perform in a professional musical choir! They will learn the fundamentals of music, performance, and ensemble work and grow in their exposure to different genres.
",2216 S WENTWORTH AVENUE,Chicago,IL,60616,41.8527,-87.6321,14,22,7,Media,"Creating animations, movies, music, podcasts,  and two- and three-dimensional artworks",,,,,,,,,,,,,,,,,
Chinatown Youth Choir,After School Matters,"In this exciting program, teens will have the opportunity to learn what it takes to perform in a professional musical choir! They will learn the fundamentals of music, performance, and ensemble work and grow in their exposure to different genres.
",2216 S WENTWORTH AVENUE,Chicago,IL,60616,41.8527,-87.6321,14,22,8,Performance,"Participating in live music, theatre, and dance performances",,,,,,,,,,,,,,,,,
Chinese Painting and Folk Arts Training,After School Matters,"This Chinese painting and handicraft apprenticeship is a unique program aimed at providing teens with the hands-on experience and skills needed to create traditional Chinese artwork as it was done thousands of years ago. Through this program, teens learn technical skills needed to create Chinese paintings by using special skills learned while using only brushes, ink and water. A variety of other projects are introduced as well as job readiness skills.
",2141 S TAN COURT,Chicago,IL,60616,41.8547,-87.6357,14,22,2,Designing + Making,"Creating visual graphics and physical structures; Building things with electronics, craft materials; Creating fashion",,,,,,,,,,,,,,,,,
Chinese Painting and Folk Arts Training,After School Matters,"This Chinese painting and handicraft apprenticeship is a unique program aimed at providing teens with the hands-on experience and skills needed to create traditional Chinese artwork as it was done thousands of years ago. Through this program, teens learn technical skills needed to create Chinese paintings by using special skills learned while using only brushes, ink and water. A variety of other projects are introduced as well as job readiness skills.
",2141 S TAN COURT,Chicago,IL,60616,41.8547,-87.6357,14,22,7,Media,"Creating animations, movies, music, podcasts,  and two- and three-dimensional artworks",,,,,,,,,,,,,,,,,
